"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JSON", "Ignore", "JavaScript", "Shell Script", "YAML", "MDX", "TypeScript JSX", "PostCSS", "XML", "HTML", "Prisma", "Properties", "SQL", "PHP", "Environment Variables", "Docker", "Diff", "comment", "blank", "total"
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/patches/dayjs-npm-1.11.4-97921cd375.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/patches/libphonenumber-js-npm-1.10.51-4ff79b15f8.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/patches/next-i18next-npm-13.3.0-bf25b0943c.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/plugins/@yarnpkg/plugin-interactive-tools.cjs", "JavaScript", 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 53, 542
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/plugins/@yarnpkg/plugin-workspace-tools.cjs", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 29
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/releases/yarn-3.4.1.cjs", "JavaScript", 0, 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 44, 874
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarnrc.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/CONTRIBUTING.md", "Markdown", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 220
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/README.md", "Markdown", 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 610
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/SECURITY.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 58
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/__checks__/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/__checks__/calcom-dashboard.check.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 35
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/__checks__/location-link.check.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 36
